price,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnished,semi-furnished,unfurnished,stories_area,rooms_area,area_normalizada
13300000,4,2,3,1,0,0,0,1,2,1,1,0,0,-0.45355375779879514,-0.0368181236177086,1.0467262882352133
12250000,4,4,4,1,0,0,0,1,3,0,1,0,0,-0.5575315120773819,-0.24251340937390947,1.7570095257333957
12250000,3,2,2,1,0,1,0,0,2,1,0,1,0,0.6634644024511648,1.2949119264495796,2.218232407225722
12215000,4,2,2,1,0,1,0,1,3,1,1,0,0,0.11535309775404348,-0.01331009095985722,1.0836241187545992
11410000,4,1,2,1,1,1,0,1,2,0,1,0,0,0.09752833987771434,0.39925588218543684,1.0467262882352133
10850000,3,3,1,1,0,1,0,1,2,1,0,1,0,1.7864241486599013,-0.01331009095985722,1.0836241187545992
10150000,4,3,4,1,0,0,0,1,2,1,0,1,0,-0.5998653120336637,-0.05612829330094379,1.5817448307663118
10150000,5,3,2,1,0,0,0,0,0,0,0,0,1,2.0537955168048385,1.3530943072777621,5.096263187737839
9870000,4,1,2,1,1,1,0,1,2,1,1,0,0,0.2490387818265121,0.6390378152955223,1.3603578476499951
9800000,3,2,4,1,1,0,0,1,1,1,0,0,1,-0.9151407169712354,-0.18962033589374358,0.2764840761430282
9800000,3,1,2,1,0,1,0,1,2,1,1,0,0,1.3853670964424953,3.601049930184813,3.712594543260859
9681000,4,3,2,1,1,1,1,0,2,0,0,1,0,-0.21886111242712805,-0.7059574817715537,0.39178979651610985
9310000,4,2,2,1,0,0,0,1,1,1,0,1,0,-0.09631590202736516,-0.29246797877184383,0.6454623813368893
9240000,4,2,2,1,0,0,1,0,2,0,1,0,0,-0.775884796062414,-1.188711723852433,-0.761267407214706
9240000,3,2,2,1,0,0,0,0,0,1,0,1,0,0.1821959397902778,0.5332516683351904,1.2219909832022973
9100000,4,1,2,1,0,1,0,0,2,0,0,1,0,-0.21886111242712805,-0.1014652134268004,0.39178979651610985
9100000,4,2,2,1,1,1,0,1,1,1,0,0,1,-0.08517542835465944,-0.27777545836068673,0.6685235254115056
8960000,3,2,4,1,0,0,0,1,2,0,1,0,0,-0.6087776909718282,0.7800860112426314,1.5448470002469257
8890000,3,2,2,1,1,0,0,1,2,0,1,0,0,-0.5307943752628882,-0.5951338992416823,-0.253922237573147
8855000,3,2,2,1,0,0,0,1,1,1,0,1,0,-0.12528113357640003,0.04663539231766414,0.5855034067428869
8750000,3,1,2,1,0,1,1,0,2,0,0,1,0,-0.5931810278300402,-0.31303750734746405,-0.3830646443909984
8680000,3,2,1,1,1,1,0,1,2,0,0,0,1,1.6326856119765623,0.3058114523704771,0.9245022246397467
8645000,3,1,1,1,1,1,0,1,1,0,1,0,0,2.031514569459427,1.3310555266610262,1.3372967035753787
8645000,3,2,2,1,1,1,0,1,1,0,1,0,0,-0.5397067542010527,-0.6092387188363931,-0.2723711528328401
8575000,3,2,2,1,0,0,0,1,2,0,1,0,0,0.40500541324439215,0.8858721582029632,1.6832138646946235
